City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bambous Virieux,MU,80.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
9,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
13,San Antero,CO,75.34,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
17,Oranjestad,AW,80.13,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
18,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
20,Kapaa,US,75.47,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Hailar,CN,77.22,scattered clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
23,Antalaha,MG,79.07,light rain,-14.9003,50.2788,Hotel Vitasoa
24,Zhangye,CN,80.31,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
25,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
28,Tuscaloosa,US,76.78,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
30,Korla,CN,88.48,clear sky,41.7597,86.1469,Gulisitan Hotel
31,Cockburn Town,TC,80.15,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
33,Virginia Beach,US,75.25,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
47,Atuona,PF,78.04,clear sky,-9.8,-139.0333,Villa Enata
52,Faya,SA,84.72,clear sky,18.3851,42.4509,املاك خالد الشعشوع
54,Banda Aceh,ID,84.92,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
55,Puerto Escondido,MX,78.91,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
62,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
72,Djambala,CG,76.93,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
76,Cape Town,ZA,75.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
79,Heihe,CN,84.78,few clouds,50.2441,127.4902,Hotel Strannik
82,Mahajanga,MG,84.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
84,Merauke,ID,81.5,broken clouds,-8.4667,140.3333,
87,Luganville,VU,77.94,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
96,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
97,Santa Cruz Del Sur,CU,76.59,overcast clouds,20.7147,-77.9956,
101,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.0833,Scoop Guest House
103,Geraldton,AU,79.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
106,Save,BJ,81.05,scattered clouds,8.0425,2.486,Le Cercle du Rail
107,Viransehir,TR,87.6,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
110,Gorontalo,ID,82.92,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
115,Lalibela,ET,75.49,overcast clouds,12.0333,39.0333,Honey Land Hotel Lalibela
129,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
130,Kapit,MY,82.24,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
139,Veraval,IN,89.04,few clouds,20.9,70.3667,Lords Inn Somnath
140,Butaritari,KI,82.29,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
143,Baculin,PH,81.68,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
144,Daru,PG,79.39,moderate rain,-9.0763,143.2092,Daru Lodge
145,Vieux-Habitants,GP,76.57,broken clouds,16.0589,-61.7659,Gîtes Dardanelle
146,Port Blair,IN,80.64,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
148,Meulaboh,ID,84.52,overcast clouds,4.1363,96.1285,Kost Pria
149,Sola,VU,81.3,broken clouds,-13.8833,167.55,Leumerus Bungalows
156,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
161,Kikwit,CD,81.1,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
164,Sinnamary,GF,77.43,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
168,Alexandria,EG,82.36,clear sky,31.2156,29.9553,Royal Crown Hotel
172,Victoria,HK,78.33,heavy intensity rain,22.2855,114.1577,Mini Central
176,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
177,Abu Zabad,SD,88.92,overcast clouds,12.35,29.25,حامد محمد نور
178,Lodja,CD,83.61,overcast clouds,-3.4833,23.4333,
181,Shetpe,KZ,79.66,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
184,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
187,Capuy,PH,85.93,overcast clouds,12.9833,123.9333,Alburo Spring Resort
191,Kuchinarai,TH,89.94,overcast clouds,16.541,104.05,โรงแรมแสงชัย
195,Padang,ID,82.56,light rain,-0.9492,100.3543,Mercure Padang
197,Kahului,US,77.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
199,Payo,ID,84.79,broken clouds,-3.7508,103.6372,Mess keban agung
200,Ulcinj,ME,78.98,broken clouds,41.9294,19.2244,Hotel Palata Venezia
201,Kankon,IN,85.8,scattered clouds,15.0167,74.0167,Palolem Beach Resort
204,Lasem,ID,85.86,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
206,Impfondo,CG,83.19,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
208,Ixtapa,MX,78.22,broken clouds,20.7,-105.2,hotel la terminal
212,Tura,IN,84.36,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
218,Erzin,TR,79.18,broken clouds,36.9559,36.2,Artemis Otel
219,San Patricio,US,82.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
221,Weligama,LK,82.78,overcast clouds,5.9667,80.4167,Weligama Bay Resort
223,Biak,ID,81.68,broken clouds,-0.9131,122.8766,Penginapan Kim
227,Sweetwater,US,75.22,broken clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
228,Hami,CN,88.93,clear sky,42.8,93.45,Laoyutang Resort
229,Mana,GF,76.33,overcast clouds,5.6592,-53.7767,LE SAMANA
235,Umm Lajj,SA,89.94,clear sky,25.0213,37.2685,Moon light Furnished Units
236,Banjar,ID,83.37,overcast clouds,-8.19,114.9675,The Hamsa Resort
237,Champerico,GT,77.41,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
238,Juegang,CN,77.92,clear sky,32.3174,121.1855,Rudong Y Hotel
243,Hat Yai,TH,87.98,broken clouds,7.0084,100.4767,New Season Hotel
245,Bauchi,NG,87.35,broken clouds,10.5,10.0,
247,Hobyo,SO,87.71,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
248,Gat,IL,86.4,clear sky,31.61,34.7642,OlusHome
253,Mumford,GH,78.76,light rain,5.2618,-0.759,Spanish Villa
255,Yairipok,IN,81.12,overcast clouds,24.6667,94.0667,Ningthounai
257,Ende,ID,82.9,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
265,Zhuhai,CN,78.85,light intensity shower rain,22.2769,113.5678,珠海粤财假日酒店
269,Cayenne,GF,80.1,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
274,Itoman,JP,77.02,moderate rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
278,Requena,ES,77.29,overcast clouds,39.4883,-1.1004,Hotel Avenida
279,Dingle,PH,86.13,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
280,Kavieng,PG,82.94,clear sky,-2.5744,150.7967,Nusa Island Retreat
285,Bengkulu,ID,83.01,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
286,Mazagao,BR,77.05,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
289,Dwarka,IN,87.96,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
290,Aitape,PG,81.27,light rain,-3.1374,142.3475,
291,Samandag,TR,82.92,clear sky,36.0842,35.9771,Anadolu Palace Hotel
294,Faanui,PF,80.17,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
295,Portobelo,PA,76.96,overcast clouds,9.55,-79.65,Scuba Portobelo
296,Harper,LR,79.12,few clouds,4.375,-7.7169,Screensaver
298,Jinchang,CN,81.5,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
299,Key Largo,US,76.98,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
300,Tevaitoa,PF,80.24,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
303,Bubaque,GW,80.11,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
304,Djenne,ML,88.54,scattered clouds,13.9061,-4.5533,Hôtel Chez Baba
305,Black River,JM,76.62,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
318,Buala,SB,80.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
319,Shizuishan,CN,84.87,overcast clouds,39.2333,106.7694,Xingji Hotel
328,San Diego De Los Banos,CU,75.83,overcast clouds,22.6467,-83.3697,Casa Nalúa - Nalúa Enea
340,Prikubanskiy,RU,78.17,scattered clouds,45.0015,41.1795,Hotel Prague
342,Perivolion,GR,78.66,few clouds,39.4206,20.0147,Santa Maria
348,Bara,NG,85.33,overcast clouds,10.3744,10.7288,
349,Bumba,CD,79.65,light rain,2.1833,22.4667,Père Carlos
353,Atar,MR,88.88,clear sky,20.5169,-13.0499,Oumou Elghoura
356,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
359,Kavaratti,IN,83.32,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
360,Capoterra,IT,76.53,clear sky,39.1763,8.9718,Ariedo Bed And Breakfast
364,Havelock,US,78.78,clear sky,34.8791,-76.9013,Sherwood Motel
367,Bloomingdale,US,80.46,clear sky,27.8936,-82.2404,Travel Club for Free
372,Salalah,OM,87.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
374,Miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
377,Tuy Hoa,VN,87.3,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
378,Dongsheng,CN,79.0,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
379,Kashi,CN,87.01,few clouds,39.4547,75.9797,帕米尔青年旅舍
380,Kyaikkami,MM,78.53,moderate rain,16.08,97.5675,St. joseph catholic church
382,Miramar,US,75.22,clear sky,25.9873,-80.2323,Stadium Hotel
387,Namibe,AO,75.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
395,Pascagoula,US,80.64,few clouds,30.3658,-88.5561,Regency Inn
397,Guhagar,IN,89.4,scattered clouds,17.4842,73.1929,Hotel Seawinds
399,Novomalorossiyskaya,RU,79.5,broken clouds,45.6348,39.8948,
405,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
414,Adrar,MR,88.38,clear sky,20.5022,-10.0711,
418,Sibut,CF,80.8,overcast clouds,5.718,19.0739,
420,Hirara,JP,75.47,shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
423,Quatre Cocos,MU,79.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
427,Qui Nhon,VN,85.6,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
432,Chake Chake,TZ,79.29,light rain,-5.2459,39.7666,Hotel Archipelago
433,Suntar,RU,76.6,overcast clouds,62.1444,117.6319,Гостевая квартира
435,Frontera,MX,88.32,broken clouds,26.9333,-101.45,Fiesta Inn Monclova
441,Artvin,TR,83.53,few clouds,41.1667,41.8333,Koru Butik Otel
443,Yenagoa,NG,80.65,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
444,Jinji,CN,81.86,overcast clouds,23.2281,110.8261,
446,Namatanai,PG,79.02,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
451,Beyneu,KZ,82.98,clear sky,45.3167,55.2,NUR
457,Bachaquero,VE,76.73,clear sky,9.9694,-71.1494,casa de los dinosaurios
458,Buluang,PH,84.65,light rain,13.3068,123.3425,Sacueza Beach Resort
459,Felipe Carrillo Puerto,MX,76.48,overcast clouds,19.5833,-88.05,Hotel La Ceiba
462,Pesaro,IT,75.18,clear sky,43.9036,12.8903,Savoy
463,Finschhafen,PG,80.76,overcast clouds,-6.6024,147.8681,Cossam Guest House
464,Isangel,VU,75.87,scattered clouds,-19.55,169.2667,Tanna Lodge
467,Kathmandu,NP,80.82,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
469,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
477,Sabang,ID,83.17,overcast clouds,5.8933,95.3214,Hotel Citra
478,Pouebo,NC,75.72,light rain,-20.4,164.5667,RIVÂT LODGE
480,Pointe-Noire,CG,75.27,mist,-4.7761,11.8635,Kactus Lodge
482,Srivardhan,IN,87.84,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
484,Ures,MX,81.1,overcast clouds,29.4333,-110.4,HOTEL SAHUARO HOUSE
486,Kiunga,PG,77.63,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
487,Magdalena,PH,86.36,moderate rain,14.1999,121.429,Samparada & Gestiada Residences
492,Tral,IN,81.84,broken clouds,33.9333,75.1,Tawkeers house
494,Santa Rosa,PH,89.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
502,Kramat,ID,83.43,light rain,-8.1311,113.4499,Padepokan HM Arum Sabil
505,Nerchinskiy Zavod,RU,81.05,few clouds,51.3088,119.61,Gostinitsa
509,Beidao,CN,89.33,few clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
515,Kanniyakumari,IN,84.47,scattered clouds,8.0833,77.5667,Sparsa Kanyakumari
519,Lorengau,PG,82.2,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
520,Surt,LY,80.56,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
521,Semey,KZ,82.62,clear sky,50.4111,80.2275,Grand Hotel Semey
522,Poum,NC,78.71,overcast clouds,-20.2333,164.0167,
524,Karratha,AU,79.45,broken clouds,-20.7377,116.8463,ibis Styles Karratha
525,Marsa Matruh,EG,82.44,clear sky,31.3525,27.2453,Beau Site
529,Goundam,ML,89.8,scattered clouds,16.4145,-3.6708,
534,Segou,ML,86.04,clear sky,13.4317,-6.2157,Comme chez soi
540,Buchanan,LR,78.49,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
543,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Alize Plage
545,Amahai,ID,82.9,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
547,Roebourne,AU,79.75,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
549,Bonthe,SL,78.03,few clouds,7.5264,-12.505,Bonthe Holiday Village
553,Kieta,PG,77.23,light rain,-6.2167,155.6333,Uruna Bay Retreat
554,Abu Samrah,SY,85.8,clear sky,35.3029,37.1841,
555,Astana,KZ,82.35,scattered clouds,51.1801,71.446,King Hotel Astana
556,Sfantu Gheorghe,RO,75.85,broken clouds,45.8667,25.7833,Hotel Park
559,Robertsport,LR,78.24,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
563,Mattru,SL,75.11,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
565,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
566,West Bay,KY,81.07,broken clouds,19.3667,-81.4167,Calypso Cove
574,Mahe,IN,84.87,scattered clouds,11.7,75.5333,Mahi Midas Sea View Hotel
575,Tenenkou,ML,88.05,broken clouds,14.4572,-4.9169,
577,Ewa Beach,US,76.98,clear sky,21.3156,-158.0072,Base Lodging
578,Boende,CD,81.34,overcast clouds,-0.2167,20.8667,
579,Khanapur,IN,85.62,scattered clouds,15.6333,74.5167,PWD Guest House Khanapur
581,Pakxan,LA,78.01,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
585,Shcherbynivka,UA,75.27,clear sky,48.3949,37.791,KAWASAKI
587,Pemba,MZ,77.7,few clouds,-12.974,40.5178,Guesthouse Samotina
589,Odweyne,SO,84.31,scattered clouds,9.4092,45.064,Eng Hiirey House
593,Lakatoro,VU,79.07,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
595,Alghero,IT,75.29,few clouds,40.5589,8.3181,Smy Carlos V Alghero
599,Gigmoto,PH,85.89,overcast clouds,13.7796,124.39,Cj's Travellers Inn
609,Angoche,MZ,75.11,broken clouds,-16.2325,39.9086,Guest House HESADA
610,Coahuayana,MX,75.34,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
614,Keti Bandar,PK,88.38,clear sky,24.1447,67.4497,Haji laloo memon house
625,Bull Savanna,JM,75.79,overcast clouds,17.8868,-77.5902,Big Red's
630,Tubuala,PA,77.07,overcast clouds,9.5167,-79.0333,
636,Zeya,RU,76.21,broken clouds,53.75,127.2667,Kapital Inn
643,Ugoofaaru,MV,82.36,overcast clouds,5.6667,73.0,Ungoofaaru Inn
649,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
656,Ankola,IN,86.76,scattered clouds,14.6667,74.3,Hotel Kamat Plus
657,Izhma,RU,76.05,scattered clouds,65.0083,53.9113,
662,Kudahuvadhoo,MV,82.56,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
667,Bajah,YE,86.99,overcast clouds,13.8141,44.6301,باجة
668,Tarakan,ID,84.34,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
672,Makakilo City,US,75.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
